,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday,start_year,start_month,start_hour,start_day,week_day
4356,Staten Island,3,13.0,10.0,19.0,-1.0,1016.6,0.0,0.01,0.6375,8.0,N,2015,January,14,28,Wednesday
4357,Bronx,44,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N,2015,January,15,28,Wednesday
4358,Brooklyn,318,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N,2015,January,15,28,Wednesday
4359,EWR,0,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N,2015,January,15,28,Wednesday
4360,Manhattan,1949,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N,2015,January,15,28,Wednesday
4361,Queens,294,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N,2015,January,15,28,Wednesday
4362,Staten Island,1,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N,2015,January,15,28,Wednesday
4363,Unknown,2,10.0,10.0,21.0,1.0,1017.2,0.0,0.0,0.6275,8.0,N,2015,January,15,28,Wednesday
4364,Bronx,41,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N,2015,January,16,28,Wednesday
4365,Brooklyn,319,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N,2015,January,16,28,Wednesday
4366,EWR,0,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N,2015,January,16,28,Wednesday
4367,Manhattan,2140,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N,2015,January,16,28,Wednesday
4368,Queens,359,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N,2015,January,16,28,Wednesday
4369,Staten Island,2,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N,2015,January,16,28,Wednesday
4370,Unknown,1,9.0,10.0,24.0,4.0,1017.5,0.0,0.0,0.625,8.0,N,2015,January,16,28,Wednesday
4371,Bronx,47,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N,2015,January,17,28,Wednesday
4372,Brooklyn,369,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N,2015,January,17,28,Wednesday
4373,EWR,0,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N,2015,January,17,28,Wednesday
4374,Manhattan,2766,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N,2015,January,17,28,Wednesday
4375,Queens,289,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N,2015,January,17,28,Wednesday
4376,Staten Island,1,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N,2015,January,17,28,Wednesday
4377,Unknown,1,13.0,10.0,27.0,6.0,1017.5,0.0,0.0,0.6,8.0,N,2015,January,17,28,Wednesday
4378,Bronx,51,14.0,10.0,30.0,7.0,1017.5,0.0,0.0,0.52,8.0,N,2015,January,18,28,Wednesday
4379,Brooklyn,502,14.0,10.0,30.0,7.0,1017.5,0.0,0.0,0.52,8.0,N,2015,January,18,28,Wednesday
4380,EWR,0,14.0,10.0,30.0,7.0,1017.5,0.0,0.0,0.52,8.0,N,2015,January,18,28,Wednesday
4381,Manhattan,3839,14.0,10.0,30.0,7.0,1017.5,0.0,0.0,0.52,8.0,N,2015,January,18,28,Wednesday
4382,Queens,341,14.0,10.0,30.0,7.0,1017.5,0.0,0.0,0.52,8.0,N,2015,January,18,28,Wednesday
4383,Staten Island,1,14.0,10.0,30.0,7.0,1017.5,0.0,0.0,0.52,8.0,N,2015,January,18,28,Wednesday
4384,Bronx,32,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N,2015,January,19,28,Wednesday
4385,Brooklyn,567,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N,2015,January,19,28,Wednesday
4386,EWR,0,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N,2015,January,19,28,Wednesday
4387,Manhattan,4147,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N,2015,January,19,28,Wednesday
4388,Queens,368,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N,2015,January,19,28,Wednesday
4389,Staten Island,0,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N,2015,January,19,28,Wednesday
4390,Unknown,2,7.0,10.0,31.0,8.0,1017.8,0.0,0.0,0.37,8.0,N,2015,January,19,28,Wednesday
4391,Bronx,30,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N,2015,January,20,28,Wednesday
4392,Brooklyn,557,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N,2015,January,20,28,Wednesday
4393,EWR,0,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N,2015,January,20,28,Wednesday
4394,Manhattan,3808,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N,2015,January,20,28,Wednesday
4395,Queens,367,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N,2015,January,20,28,Wednesday
4396,Staten Island,0,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N,2015,January,20,28,Wednesday
4397,Unknown,3,8.0,10.0,33.0,8.0,1018.3,0.0,0.0,0.32,8.0,N,2015,January,20,28,Wednesday
4398,Bronx,43,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N,2015,January,21,28,Wednesday
4399,Brooklyn,521,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N,2015,January,21,28,Wednesday
4400,EWR,0,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N,2015,January,21,28,Wednesday
4401,Manhattan,3282,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N,2015,January,21,28,Wednesday
4402,Queens,327,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N,2015,January,21,28,Wednesday
4403,Staten Island,0,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N,2015,January,21,28,Wednesday
4404,Unknown,2,10.0,10.0,33.0,7.0,1019.0,0.0,0.0,0.3075,8.0,N,2015,January,21,28,Wednesday
4405,Bronx,44,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N,2015,January,22,28,Wednesday
4406,Brooklyn,548,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N,2015,January,22,28,Wednesday
4407,EWR,0,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N,2015,January,22,28,Wednesday
4408,Manhattan,3061,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N,2015,January,22,28,Wednesday
4409,Queens,374,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N,2015,January,22,28,Wednesday
4410,Staten Island,0,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N,2015,January,22,28,Wednesday
4411,Unknown,2,6.0,10.0,33.0,6.0,1020.0,0.0,0.0,0.3025,8.0,N,2015,January,22,28,Wednesday
4412,Bronx,20,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N,2015,January,23,28,Wednesday
4413,Brooklyn,474,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N,2015,January,23,28,Wednesday
4414,EWR,0,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N,2015,January,23,28,Wednesday
4415,Manhattan,2457,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N,2015,January,23,28,Wednesday
4416,Queens,218,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N,2015,January,23,28,Wednesday
4417,Staten Island,0,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N,2015,January,23,28,Wednesday
4418,Unknown,2,3.0,10.0,32.0,3.0,1021.2,0.0,0.0,0.3025,8.0,N,2015,January,23,28,Wednesday
4419,Bronx,18,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N,2015,January,0,29,Thursday
4420,Brooklyn,345,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N,2015,January,0,29,Thursday
4421,EWR,0,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N,2015,January,0,29,Thursday
4422,Manhattan,1427,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N,2015,January,0,29,Thursday
4423,Queens,193,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N,2015,January,0,29,Thursday
4424,Staten Island,0,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N,2015,January,0,29,Thursday
4425,Unknown,1,8.0,10.0,31.0,2.0,1022.1,0.0,0.0,0.3025,8.0,N,2015,January,0,29,Thursday
4426,Bronx,10,5.0,10.0,30.0,1.0,1023.0,0.0,0.0,0.2925,8.0,N,2015,January,1,29,Thursday
4427,Brooklyn,219,5.0,10.0,30.0,1.0,1023.0,0.0,0.0,0.2925,8.0,N,2015,January,1,29,Thursday
4428,EWR,0,5.0,10.0,30.0,1.0,1023.0,0.0,0.0,0.2925,8.0,N,2015,January,1,29,Thursday
4429,Manhattan,721,5.0,10.0,30.0,1.0,1023.0,0.0,0.0,0.2925,8.0,N,2015,January,1,29,Thursday
4430,Queens,127,5.0,10.0,30.0,1.0,1023.0,0.0,0.0,0.2925,8.0,N,2015,January,1,29,Thursday
4431,Staten Island,0,5.0,10.0,30.0,1.0,1023.0,0.0,0.0,0.2925,8.0,N,2015,January,1,29,Thursday
4432,Bronx,10,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.27916666666666695,8.0,N,2015,January,2,29,Thursday
4433,Brooklyn,125,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.27916666666666695,8.0,N,2015,January,2,29,Thursday
4434,EWR,0,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.27916666666666695,8.0,N,2015,January,2,29,Thursday
4435,Manhattan,402,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.27916666666666695,8.0,N,2015,January,2,29,Thursday
4436,Queens,30,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.27916666666666695,8.0,N,2015,January,2,29,Thursday
4437,Staten Island,0,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.27916666666666695,8.0,N,2015,January,2,29,Thursday
4438,Bronx,3,3.0,10.0,28.0,0.0,1024.1,0.0,0.0,0.24916666666666698,8.0,N,2015,January,3,29,Thursday
4439,Brooklyn,64,3.0,10.0,28.0,0.0,1024.1,0.0,0.0,0.24916666666666698,8.0,N,2015,January,3,29,Thursday
4440,EWR,0,3.0,10.0,28.0,0.0,1024.1,0.0,0.0,0.24916666666666698,8.0,N,2015,January,3,29,Thursday
4441,Manhattan,265,3.0,10.0,28.0,0.0,1024.1,0.0,0.0,0.24916666666666698,8.0,N,2015,January,3,29,Thursday
4442,Queens,22,3.0,10.0,28.0,0.0,1024.1,0.0,0.0,0.24916666666666698,8.0,N,2015,January,3,29,Thursday
4443,Staten Island,0,3.0,10.0,28.0,0.0,1024.1,0.0,0.0,0.24916666666666698,8.0,N,2015,January,3,29,Thursday
4444,Bronx,4,3.0,10.0,26.0,0.0,1024.6,0.0,0.0,0.164166666666667,8.0,N,2015,January,4,29,Thursday
4445,Brooklyn,79,3.0,10.0,26.0,0.0,1024.6,0.0,0.0,0.164166666666667,8.0,N,2015,January,4,29,Thursday
4446,EWR,0,3.0,10.0,26.0,0.0,1024.6,0.0,0.0,0.164166666666667,8.0,N,2015,January,4,29,Thursday
4447,Manhattan,281,3.0,10.0,26.0,0.0,1024.6,0.0,0.0,0.164166666666667,8.0,N,2015,January,4,29,Thursday
4448,Queens,34,3.0,10.0,26.0,0.0,1024.6,0.0,0.0,0.164166666666667,8.0,N,2015,January,4,29,Thursday
4449,Staten Island,1,3.0,10.0,26.0,0.0,1024.6,0.0,0.0,0.164166666666667,8.0,N,2015,January,4,29,Thursday
4450,Bronx,10,0.0,10.0,25.0,1.0,1024.9,0.0,0.0,0.0,8.0,N,2015,January,5,29,Thursday
4451,Brooklyn,153,0.0,10.0,25.0,1.0,1024.9,0.0,0.0,0.0,8.0,N,2015,January,5,29,Thursday
4452,EWR,0,0.0,10.0,25.0,1.0,1024.9,0.0,0.0,0.0,8.0,N,2015,January,5,29,Thursday
4453,Manhattan,431,0.0,10.0,25.0,1.0,1024.9,0.0,0.0,0.0,8.0,N,2015,January,5,29,Thursday
4454,Queens,76,0.0,10.0,25.0,1.0,1024.9,0.0,0.0,0.0,8.0,N,2015,January,5,29,Thursday
4455,Staten Island,1,0.0,10.0,25.0,1.0,1024.9,0.0,0.0,0.0,8.0,N,2015,January,5,29,Thursday
4456,Bronx,11,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N,2015,January,6,29,Thursday
4457,Brooklyn,258,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N,2015,January,6,29,Thursday
4458,EWR,0,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N,2015,January,6,29,Thursday
4459,Manhattan,793,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N,2015,January,6,29,Thursday
4460,Queens,139,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N,2015,January,6,29,Thursday
4461,Staten Island,1,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N,2015,January,6,29,Thursday
4462,Unknown,1,1.5,10.0,24.0,1.0,1025.2,0.0,0.0,0.109166666666667,7.91666666666667,N,2015,January,6,29,Thursday
4463,Bronx,30,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N,2015,January,7,29,Thursday
4464,Brooklyn,461,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N,2015,January,7,29,Thursday
4465,EWR,0,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N,2015,January,7,29,Thursday
4466,Manhattan,1603,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N,2015,January,7,29,Thursday
4467,Queens,205,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N,2015,January,7,29,Thursday
4468,Staten Island,2,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N,2015,January,7,29,Thursday
4469,Unknown,1,3.0,10.0,23.0,1.0,1025.5,0.0,0.0,0.0825,7.83333333333333,N,2015,January,7,29,Thursday
4470,Bronx,57,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N,2015,January,8,29,Thursday
4471,Brooklyn,547,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N,2015,January,8,29,Thursday
4472,EWR,0,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N,2015,January,8,29,Thursday
4473,Manhattan,2637,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N,2015,January,8,29,Thursday
4474,Queens,270,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N,2015,January,8,29,Thursday
4475,Staten Island,0,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N,2015,January,8,29,Thursday
4476,Unknown,4,5.0,10.0,21.0,2.0,1026.2,0.0,0.0,0.0325,7.75,N,2015,January,8,29,Thursday
4477,Bronx,55,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N,2015,January,9,29,Thursday
4478,Brooklyn,607,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N,2015,January,9,29,Thursday
4479,EWR,0,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N,2015,January,9,29,Thursday
4480,Manhattan,2889,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N,2015,January,9,29,Thursday
4481,Queens,242,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N,2015,January,9,29,Thursday
4482,Staten Island,1,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N,2015,January,9,29,Thursday
4483,Unknown,2,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N,2015,January,9,29,Thursday
4484,Bronx,34,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N,2015,January,10,29,Thursday
4485,Brooklyn,457,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N,2015,January,10,29,Thursday
4486,EWR,0,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N,2015,January,10,29,Thursday
4487,Manhattan,2240,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N,2015,January,10,29,Thursday
4488,Queens,178,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N,2015,January,10,29,Thursday
4489,Staten Island,3,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N,2015,January,10,29,Thursday
4490,Unknown,1,5.0,10.0,21.0,2.0,1025.7,0.0,0.0,0.0,7.58333333333333,N,2015,January,10,29,Thursday
4491,Bronx,34,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N,2015,January,11,29,Thursday
4492,Brooklyn,374,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N,2015,January,11,29,Thursday
4493,EWR,0,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N,2015,January,11,29,Thursday
4494,Manhattan,1719,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N,2015,January,11,29,Thursday
4495,Queens,179,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N,2015,January,11,29,Thursday
4496,Staten Island,1,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N,2015,January,11,29,Thursday
4497,Unknown,2,0.0,10.0,20.0,2.0,1026.3,0.0,0.0,0.0,7.5,N,2015,January,11,29,Thursday
4498,Bronx,19,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N,2015,January,12,29,Thursday
4499,Brooklyn,351,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N,2015,January,12,29,Thursday
4500,EWR,0,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N,2015,January,12,29,Thursday
4501,Manhattan,1765,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N,2015,January,12,29,Thursday
4502,Queens,154,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N,2015,January,12,29,Thursday
4503,Staten Island,2,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N,2015,January,12,29,Thursday
4504,Unknown,1,3.0,10.0,20.0,3.0,1026.4,0.0,0.0,0.0,7.41666666666667,N,2015,January,12,29,Thursday
4505,Bronx,36,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N,2015,January,13,29,Thursday
4506,Brooklyn,300,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N,2015,January,13,29,Thursday
4507,EWR,0,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N,2015,January,13,29,Thursday
4508,Manhattan,1635,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N,2015,January,13,29,Thursday
4509,Queens,162,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N,2015,January,13,29,Thursday
4510,Staten Island,1,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N,2015,January,13,29,Thursday
4511,Unknown,2,5.0,10.0,19.0,2.0,1026.9,0.0,0.0,0.0,7.33333333333333,N,2015,January,13,29,Thursday
4512,Bronx,48,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N,2015,January,14,29,Thursday
4513,Brooklyn,309,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N,2015,January,14,29,Thursday
4514,EWR,0,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N,2015,January,14,29,Thursday
4515,Manhattan,1848,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N,2015,January,14,29,Thursday
4516,Queens,212,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N,2015,January,14,29,Thursday
4517,Staten Island,0,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N,2015,January,14,29,Thursday
4518,Unknown,1,0.0,10.0,22.0,4.0,1026.8,0.0,0.0,0.0,7.25,N,2015,January,14,29,Thursday
4519,Bronx,45,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N,2015,January,15,29,Thursday
4520,Brooklyn,345,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N,2015,January,15,29,Thursday
4521,EWR,0,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N,2015,January,15,29,Thursday
4522,Manhattan,2260,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N,2015,January,15,29,Thursday
4523,Queens,317,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N,2015,January,15,29,Thursday
4524,Staten Island,2,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N,2015,January,15,29,Thursday
4525,Unknown,3,5.0,10.0,27.0,5.0,1026.3,0.0,0.0,0.0,7.16666666666667,N,2015,January,15,29,Thursday
4526,Bronx,42,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N,2015,January,16,29,Thursday
4527,Brooklyn,337,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N,2015,January,16,29,Thursday
4528,EWR,0,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N,2015,January,16,29,Thursday
4529,Manhattan,2635,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N,2015,January,16,29,Thursday
4530,Queens,327,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N,2015,January,16,29,Thursday
4531,Staten Island,0,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N,2015,January,16,29,Thursday
4532,Unknown,1,3.0,10.0,29.0,5.0,1026.1,0.0,0.0,0.0,7.08333333333333,N,2015,January,16,29,Thursday
4533,Bronx,52,1.5,10.0,31.5,6.0,1025.0,0.0,0.0,0.0,7.0,N,2015,January,17,29,Thursday
4534,Brooklyn,392,1.5,10.0,31.5,6.0,1025.0,0.0,0.0,0.0,7.0,N,2015,January,17,29,Thursday
4535,EWR,0,1.5,10.0,31.5,6.0,1025.0,0.0,0.0,0.0,7.0,N,2015,January,17,29,Thursday
4536,Manhattan,3470,1.5,10.0,31.5,6.0,1025.0,0.0,0.0,0.0,7.0,N,2015,January,17,29,Thursday
4537,Queens,276,1.5,10.0,31.5,6.0,1025.0,0.0,0.0,0.0,7.0,N,2015,January,17,29,Thursday
4538,Staten Island,3,1.5,10.0,31.5,6.0,1025.0,0.0,0.0,0.0,7.0,N,2015,January,17,29,Thursday
4539,Bronx,54,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N,2015,January,18,29,Thursday
4540,Brooklyn,531,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N,2015,January,18,29,Thursday
4541,EWR,0,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N,2015,January,18,29,Thursday
4542,Manhattan,4505,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N,2015,January,18,29,Thursday
4543,Queens,293,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N,2015,January,18,29,Thursday
4544,Staten Island,2,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N,2015,January,18,29,Thursday
4545,Unknown,3,0.0,10.0,32.0,9.0,1023.4,0.0,0.0,0.0,6.91666666666667,N,2015,January,18,29,Thursday
4546,Bronx,35,5.0,10.0,33.0,12.0,1022.4,0.0,0.0,0.0,6.83333333333333,N,2015,January,19,29,Thursday
4547,Brooklyn,572,5.0,10.0,33.0,12.0,1022.4,0.0,0.0,0.0,6.83333333333333,N,2015,January,19,29,Thursday
4548,EWR,0,5.0,10.0,33.0,12.0,1022.4,0.0,0.0,0.0,6.83333333333333,N,2015,January,19,29,Thursday
4549,Manhattan,4792,5.0,10.0,33.0,12.0,1022.4,0.0,0.0,0.0,6.83333333333333,N,2015,January,19,29,Thursday
4550,Queens,355,5.0,10.0,33.0,12.0,1022.4,0.0,0.0,0.0,6.83333333333333,N,2015,January,19,29,Thursday
4551,Staten Island,0,5.0,10.0,33.0,12.0,1022.4,0.0,0.0,0.0,6.83333333333333,N,2015,January,19,29,Thursday
4552,Bronx,42,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N,2015,January,20,29,Thursday
4553,Brooklyn,600,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N,2015,January,20,29,Thursday
4554,EWR,0,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N,2015,January,20,29,Thursday
4555,Manhattan,4464,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N,2015,January,20,29,Thursday
4556,Queens,438,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N,2015,January,20,29,Thursday
4557,Staten Island,1,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N,2015,January,20,29,Thursday
4558,Unknown,2,5.0,10.0,31.0,15.0,1022.2,0.0,0.0,0.0,6.75,N,2015,January,20,29,Thursday
4559,Bronx,40,5.5,10.0,30.0,17.0,1021.1,0.0,0.0,0.0,6.66666666666667,N,2015,January,21,29,Thursday
4560,Brooklyn,534,5.5,10.0,30.0,17.0,1021.1,0.0,0.0,0.0,6.66666666666667,N,2015,January,21,29,Thursday
4561,EWR,0,5.5,10.0,30.0,17.0,1021.1,0.0,0.0,0.0,6.66666666666667,N,2015,January,21,29,Thursday
4562,Manhattan,4175,5.5,10.0,30.0,17.0,1021.1,0.0,0.0,0.0,6.66666666666667,N,2015,January,21,29,Thursday
4563,Queens,467,5.5,10.0,30.0,17.0,1021.1,0.0,0.0,0.0,6.66666666666667,N,2015,January,21,29,Thursday
4564,Staten Island,3,5.5,10.0,30.0,17.0,1021.1,0.0,0.0,0.0,6.66666666666667,N,2015,January,21,29,Thursday
4565,Bronx,23,6.0,10.0,31.0,20.0,1020.2,0.0,0.0,0.0,6.58333333333333,N,2015,January,22,29,Thursday
4566,Brooklyn,631,6.0,10.0,31.0,20.0,1020.2,0.0,0.0,0.0,6.58333333333333,N,2015,January,22,29,Thursday
